run,method,seed,orig_n12,orig_long7,orig_ext5,gpt_n12,gpt_long7,gpt_ext5
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1-Pairwise050,2026,22.85,29.88,13.01,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1-Pairwise050,3407,23.02,30.14,13.04,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1-Pairwise050,42,23.26,30.57,13.01,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1,2026,22.53,29.12,13.30,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1,3407,22.37,28.97,13.14,,,
G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1-s42,G1-R2-RL-GradedNDCG64-CP-Align070-ShortlistUniform-K7-T1,42,22.54,29.21,13.19,,,
G1-R2-RL-GradedNDCG64-CP-Align080-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align080-ShortlistUniform-K0-T1-Pairwise050,2026,23.17,30.61,12.76,,,
G1-R2-RL-GradedNDCG64-CP-Align080-ShortlistUniform-K0-T1-Pairwise050-Seed3407-s3407,G1-R2-RL-GradedNDCG64-CP-Align080-ShortlistUniform-K0-T1-Pairwise050,3407,23.64,31.65,12.42,,,
G1-R2-RL-GradedNDCG64-CP-Align080-ShortlistUniform-K0-T1-Pairwise050-s42,G1-R2-RL-GradedNDCG64-CP-Align080-ShortlistUniform-K0-T1-Pairwise050,42,23.58,31.48,12.51,,,
G1-R2-RL-GradedNDCG64-CP-Align090-ShortlistUniform-K0-T1-Pairwise050-Seed2026-s2026,G1-R2-RL-GradedNDCG64-CP-Align090-ShortlistUniform-K0-T1-Pairwise050,2026,22.96,29.98,13.12,,,
