family,method,biology,earth_science,economics,psychology,robotics,stackoverflow,sustainable_living,pony,leetcode,aops,theoremqa_theorems,theoremqa_questions
qwen,RL-GradedNDCG64-SF-Kappa755,22.576666666666668,27.366666666666667,24.163333333333334,29.783333333333335,14.986666666666666,24.426666666666666,20.866666666666667,1.34,9.446666666666667,3.3266666666666667,27.573333333333334,20.336666666666666
qwen,RL-GradedNDCG64-SF-Align080,20.486666666666668,26.633333333333333,23.94,28.356666666666666,14.106666666666667,23.89666666666667,20.023333333333333,1.23,11.38,3.486666666666667,31.369999999999997,20.89
qwen,RL-GradedNDCG64-SF-Norm,19.826666666666668,26.14666666666667,23.663333333333334,27.400000000000002,15.713333333333333,23.946666666666665,19.936666666666667,1.27,11.906666666666666,3.4166666666666665,30.113333333333333,21.406666666666666
qwen,RL-BinaryNDCG64-SF,19.046666666666667,24.69,23.266666666666666,28.54,16.28,25.486666666666668,20.95,0.6333333333333333,10.38,3.8499999999999996,31.94666666666667,20.046666666666667
qwen,RL-GradedNDCG64-SF-NoRescale,20.03333333333333,25.73,23.52,27.326666666666668,15.513333333333334,23.063333333333333,19.993333333333332,1.4666666666666668,12.273333333333333,3.42,29.936666666666667,20.473333333333333
qwen,RL-GradedNDCG64-CP-Align040,27.993333333333336,31.21666666666667,22.513333333333335,28.703333333333333,14.31,24.97,20.236666666666668,1.6266666666666667,8.396666666666667,3.15,24.623333333333335,18.183333333333334
qwen,RL-GradedNDCG64-SF,19.316666666666666,26.16,23.52,27.26666666666667,14.593333333333334,23.07,19.2,1.3466666666666667,12.22,3.6333333333333333,30.89,21.23
qwen,RL-GradedNDCG64-SF-Anneal080090,20.583333333333332,27.156666666666666,23.423333333333332,28.02,14.18,23.89,19.37,1.2466666666666666,11.43,3.6066666666666665,30.36,20.726666666666667
qwen,RL-GradedNDCG64-SF-Align098,18.723333333333333,26.783333333333335,22.823333333333334,25.77,15.03,20.87666666666667,18.44,1.02,12.596666666666668,3.7600000000000002,30.97,20.633333333333333
qwen,RL-GradedNDCG64-SF-Align095,18.85,26.15,22.303333333333335,25.23,15.016666666666667,21.656666666666666,19.306666666666665,1.2466666666666668,12.09,3.1633333333333336,31.346666666666668,20.84
qwen,RL-GradedNDCG64-SF-Paired,18.47,26.983333333333334,22.71,25.766666666666666,14.483333333333333,20.87333333333333,18.486666666666668,1.0866666666666667,12.953333333333333,3.29,29.736666666666668,20.706666666666667
qwen,CL,22.246666666666666,17.78,21.046666666666667,26.106666666666666,16.186666666666667,26.05,22.213333333333335,1.26,9.84,2.736666666666667,25.62666666666667,21.53
qwen,RL-GradedNDCG32-SF,17.39666666666667,25.653333333333332,22.81,25.73,13.74,21.76,17.586666666666666,1.2966666666666666,11.813333333333334,3.796666666666667,32.803333333333335,20.0
qwen,RL-GradedNDCG64-SF-Align040,19.69,25.336666666666666,21.746666666666666,27.926666666666666,13.513333333333334,22.493333333333332,17.116666666666667,1.2333333333333334,9.443333333333333,2.9166666666666665,25.603333333333335,19.91
qwen,DR-GradedNDCG64-SF,17.336666666666666,28.89,21.723333333333333,21.773333333333333,15.863333333333333,17.686666666666667,16.793333333333333,2.51,17.403333333333332,2.4266666666666667,30.763333333333335,17.116666666666667
qwen,RL-GradedNDCG64-SF-DPolicy,17.21333333333333,28.43,21.296666666666667,24.433333333333334,13.916666666666666,18.536666666666665,14.15,1.5166666666666666,12.59,4.2,28.796666666666667,19.233333333333334
qwen,RL-GradedNDCG64-SF-DocMean,16.236666666666665,23.41,20.8,22.16,13.18,20.1,18.526666666666667,1.1933333333333334,14.213333333333333,2.9766666666666666,28.46666666666667,19.473333333333333
qwen,RL-GradedNDCG64-SF-NormDocMean,15.646666666666667,23.19,20.523333333333333,21.349999999999998,13.01,20.28,18.09,1.2766666666666666,15.176666666666666,2.836666666666667,28.536666666666665,19.416666666666668
qwen,LL-Binary,15.83,13.93,20.503333333333334,25.36,14.569999999999999,23.576666666666664,19.6,1.6600000000000001,10.09,3.0633333333333335,26.173333333333332,19.86
qwen,RL-GradedNDCG64-SF-QPolicy,16.483333333333334,23.34,20.14,18.73,13.06,15.700000000000001,18.240000000000002,1.04,16.71,2.8066666666666666,29.136666666666667,19.34
qwen,E0,13.41,27.81,17.97,16.6,11.96,12.82,13.17,0.69,14.25,3.28,32.09,17.15
diver,E0,37.59,41.59,29.36,28.64,19.82,25.74,21.99,3.98,9.24,3.44,34.94,21.07
diver,RL-Graded,36.666666666666664,32.29,26.87,30.643333333333334,19.30333333333333,27.346666666666668,26.02,4.18,10.203333333333333,2.3966666666666665,34.556666666666665,21.45
diver,LL-Graded,34.13666666666667,31.626666666666665,25.106666666666666,27.67,18.013333333333332,25.453333333333333,23.696666666666665,3.6033333333333335,11.103333333333333,2.52,32.486666666666665,20.763333333333332
diver,CL,28.723333333333333,23.686666666666667,23.993333333333332,23.54,18.026666666666667,28.05,23.76,3.83,8.75,3.013333333333333,29.41,19.330000000000002
