subset,model,scope,alignment,queries,eligible_flip_queries,ndcg,mrr,hit,ndcg_drop,correct_pair_flip_rate
earth_science,E0,candidates,0.99,116,27,0.27528888303845317,0.33413842279009304,0.6136853448275862,0.0028854595438782605,0.028356481481481483
earth_science,E0,candidates,0.95,116,27,0.27339882598362814,0.33165853131841816,0.61328125,0.004775516598703313,0.05555555555555555
earth_science,E0,candidates,0.9,116,27,0.2708986252230053,0.32770032626915707,0.6066810344827587,0.00727571735932616,0.06886574074074074
earth_science,E0,candidates,0.8,116,27,0.26411029070510095,0.3191050796216475,0.587957974137931,0.014064051877230492,0.09895833333333333
earth_science,E0,candidates,0.7,116,27,0.25788039382773437,0.3131626406848659,0.5732758620689655,0.020293948754597113,0.13541666666666666
earth_science,InfoNCE,candidates,1.0,116,33,0.32889653856718104,0.3978653530377668,0.6724137931034483,0.0,0.0
earth_science,InfoNCE,candidates,0.99,116,33,0.3315688475925067,0.4012670190202518,0.6697198275862069,-0.0026723090253256533,0.008996212121212122
earth_science,InfoNCE,candidates,0.95,116,33,0.3307936920410687,0.3981118722632731,0.6635237068965517,-0.0018971534738876092,0.050662878787878785
earth_science,InfoNCE,candidates,0.9,116,33,0.3284814220875717,0.39511141471674877,0.6570581896551724,0.0004151164796093118,0.07244318181818182
earth_science,InfoNCE,candidates,0.8,116,33,0.3208369701495666,0.3890418141933497,0.64453125,0.008059568417614363,0.11221590909090909
earth_science,InfoNCE,candidates,0.7,116,33,0.3112969168652175,0.37815851421387525,0.6344288793103449,0.017599621701963584,0.15388257575757575
earth_science,LambdaLoss,candidates,1.0,116,26,0.25016089040530076,0.31235974274767375,0.5344827586206896,0.0,0.0
earth_science,LambdaLoss,candidates,0.99,116,26,0.24888326163825655,0.3111678768130815,0.5250538793103449,0.0012776287670442502,0.030048076923076924
earth_science,LambdaLoss,candidates,0.95,116,26,0.2460239916511922,0.3084955592330323,0.5189924568965517,0.004136898754108592,0.06971153846153846
earth_science,LambdaLoss,candidates,0.9,116,26,0.24254898603342834,0.3041300522543788,0.517510775862069,0.007611904371872468,0.10877403846153846
earth_science,LambdaLoss,candidates,0.8,116,26,0.23571678063549345,0.29758916812055286,0.5106411637931034,0.014444109769807348,0.14483173076923078
earth_science,LambdaLoss,candidates,0.7,116,26,0.2307331636243177,0.29311328338806786,0.4994612068965517,0.019427726780983146,0.19230769230769232
earth_science,RELER,candidates,1.0,116,41,0.38139797678064846,0.4878797208538587,0.7327586206896551,0.0,0.0
