subset,model,reference_rank_bin,queries,delta_ndcg,delta_mrr,delta_best_positive_score,delta_hardest_unlabelled_score,delta_margin,delta_fixed_margin,delta_fixed_boundary_distance,delta_fixed_mean_positive_cosine
robotics,Listwise,1,11,-0.1141890364708067,-0.27272727272727276,-0.04875217242674394,-0.02957982908595692,-0.01917234334078702,0.01603741537440907,0.002886742243745245,-0.06921323862942783
robotics,Listwise,2-10,14,0.08995924932739034,0.13086734693877553,-0.043396404811314175,-0.042536765336990356,-0.0008596394743238177,0.07414031028747559,0.09092940449484511,-0.05492219967501504
robotics,Listwise,11-100,32,0.1735980031009205,0.24670138888888887,-0.023132016882300377,-0.05856964737176895,0.035437630489468575,0.08886618167161942,0.10400326853391403,-0.04423196241259575
robotics,Listwise,101+,44,0.01176264505269713,0.011832611832611832,-0.033893155442042786,-0.034687966108322144,0.0007948103276166049,0.10218823531811888,0.11362591476233169,-0.03729844330386682
theoremqa_theorems,E0,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
theoremqa_theorems,E0,2-10,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
theoremqa_theorems,E0,11-100,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
theoremqa_theorems,E0,101+,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
theoremqa_theorems,InfoNCE,1,14,-0.11792158097359283,-0.19404761904761905,0.21464616060256958,0.2349089958838054,-0.02026283528123583,0.007751241326332092,0.03159378453619598,0.22959704484258378
theoremqa_theorems,InfoNCE,2-10,30,-0.013518659815803864,0.053902116402116416,0.22251377205053965,0.20288864572842916,0.019625126322110494,0.03912819524606069,0.035565886621204634,0.23519200185934702
theoremqa_theorems,InfoNCE,11-100,11,0.1859770643226707,0.13419913419913418,0.2396742647344416,0.1912996768951416,0.04837458783929998,0.07984529842029918,0.07025922346856474,0.24627283215522766
theoremqa_theorems,InfoNCE,101+,21,0.018421562249263886,0.009523809523809525,0.2939550138655163,0.2069044808546702,0.08705053301084609,0.1038293285029275,0.05538726297511477,0.297895800499689
theoremqa_theorems,LambdaLoss,1,14,-0.1723990377090184,-0.2488095238095238,0.2890822376523699,0.32734380662441254,-0.03826156897204263,-0.019608865891184126,0.018448663883775338,0.3132639357021877
theoremqa_theorems,LambdaLoss,2-10,30,-0.09996673532562804,-0.04624338624338624,0.3059028297662735,0.276268074909846,0.02963475485642751,0.03953585922718048,0.02595060888093117,0.3347367177406947
theoremqa_theorems,LambdaLoss,11-100,11,0.22762108013272978,0.18636363636363634,0.3538072271780534,0.27616826512596826,0.07763896205208519,0.09791301597248424,0.08425566118424511,0.3672165030782873
theoremqa_theorems,LambdaLoss,101+,21,0.035551773195243996,0.05555555555555556,0.4353082520621164,0.28530840504737126,0.14999984701474509,0.15814438462257385,0.07724188285719251,0.4434568541390555
theoremqa_theorems,RELER,1,14,-0.21585902490180894,-0.29563492063492064,0.00566369720867702,0.04332474299839565,-0.03766104578971863,0.07741473615169525,0.08338866399074522,-0.003409973212650844
theoremqa_theorems,RELER,2-10,30,-0.07771551961399964,-0.0019047619047619026,0.002810943126678467,0.033777669072151184,-0.030966725945472718,0.031075199445088703,0.02854123425135725,-0.016852335135142008
theoremqa_theorems,RELER,11-100,11,0.2678540573051988,0.23863636363636365,0.016124974597584118,0.016843969171697445,-0.0007189945741133256,0.11352234807881442,0.11037019557082751,0.003170322288166393
theoremqa_theorems,RELER,101+,21,0.005596004988401292,0.005291005291005291,-0.006060510873794556,0.036930088485990255,-0.04299059935978481,0.01757501420520601,0.02169796102646953,-0.018002213466735112
theoremqa_theorems,Listwise,1,14,-0.2230950721473872,-0.31349206349206354,0.016203382185527256,0.060966938734054565,-0.04476355654852731,0.06754954159259796,0.07442736141451924,0.006818603192056928
theoremqa_theorems,Listwise,2-10,30,-0.05620291199972094,0.01616402116402117,0.005144459009170532,0.03774552841981252,-0.03260106941064199,0.026808128754297892,0.023655257103977725,-0.014069288969039917
theoremqa_theorems,Listwise,11-100,11,0.2169866188395038,0.2,0.010144333947788586,0.017084333029660313,-0.006939999081871726,0.09729823199185458,0.09366853827558225,5.43865290555087e-05
theoremqa_theorems,Listwise,101+,21,0.0,0.0,-0.00940975546836853,0.03717840285528274,-0.04658815974280948,0.012099946538607279,0.016784514129188705,-0.019560378931817553
